circuitId,url,circuitName,Location
sebring,http://en.wikipedia.org/wiki/Sebring_Raceway,Sebring International Raceway,"{'lat': '27.4547', 'long': '-81.3483', 'locality': 'Florida', 'country': 'USA'}"
sepang,http://en.wikipedia.org/wiki/Sepang_International_Circuit,Sepang International Circuit,"{'lat': '2.76083', 'long': '101.738', 'locality': 'Kuala Lumpur', 'country': 'Malaysia'}"
shanghai,http://en.wikipedia.org/wiki/Shanghai_International_Circuit,Shanghai International Circuit,"{'lat': '31.3389', 'long': '121.22', 'locality': 'Shanghai', 'country': 'China'}"
silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit,Silverstone Circuit,"{'lat': '52.0786', 'long': '-1.01694', 'locality': 'Silverstone', 'country': 'UK'}"
sochi,http://en.wikipedia.org/wiki/Sochi_Autodrom,Sochi Autodrom,"{'lat': '43.4057', 'long': '39.9578', 'locality': 'Sochi', 'country': 'Russia'}"
spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Circuit de Spa-Francorchamps,"{'lat': '50.4372', 'long': '5.97139', 'locality': 'Spa', 'country': 'Belgium'}"
suzuka,http://en.wikipedia.org/wiki/Suzuka_Circuit,Suzuka Circuit,"{'lat': '34.8431', 'long': '136.541', 'locality': 'Suzuka', 'country': 'Japan'}"
tremblant,http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant,Circuit Mont-Tremblant,"{'lat': '46.1877', 'long': '-74.6099', 'locality': 'Quebec', 'country': 'Canada'}"
valencia,http://en.wikipedia.org/wiki/Valencia_Street_Circuit,Valencia Street Circuit,"{'lat': '39.4589', 'long': '-0.331667', 'locality': 'Valencia', 'country': 'Spain'}"
vegas,https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit,Las Vegas Strip Street Circuit,"{'lat': '36.1147', 'long': '-115.173', 'locality': 'Las Vegas', 'country': 'United States'}"
villeneuve,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,Circuit Gilles Villeneuve,"{'lat': '45.5', 'long': '-73.5228', 'locality': 'Montreal', 'country': 'Canada'}"
watkins_glen,http://en.wikipedia.org/wiki/Watkins_Glen_International,Watkins Glen,"{'lat': '42.3369', 'long': '-76.9272', 'locality': 'New York State', 'country': 'USA'}"
yas_marina,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,Yas Marina Circuit,"{'lat': '24.4672', 'long': '54.6031', 'locality': 'Abu Dhabi', 'country': 'UAE'}"
yeongam,http://en.wikipedia.org/wiki/Korean_International_Circuit,Korean International Circuit,"{'lat': '34.7333', 'long': '126.417', 'locality': 'Yeongam County', 'country': 'Korea'}"
zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort,Circuit Park Zandvoort,"{'lat': '52.3888', 'long': '4.54092', 'locality': 'Zandvoort', 'country': 'Netherlands'}"
zeltweg,http://en.wikipedia.org/wiki/Zeltweg_Airfield,Zeltweg,"{'lat': '47.2039', 'long': '14.7478', 'locality': 'Styria', 'country': 'Austria'}"
zolder,http://en.wikipedia.org/wiki/Zolder,Zolder,"{'lat': '50.9894', 'long': '5.25694', 'locality': 'Heusden-Zolder', 'country': 'Belgium'}"
